"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"10782","DBShop(#10)","销售管理模块(#148)","","验证订单管理中搜索不同订单状态的基本功能","1.管理员登录后台管理系统
2.网络状态良好
3.点击销售管理
4.点击订单管理
5.输入订单号123
6.输入购买人张三
7.输入收货人张三","1. 勾选默认状态点击搜索
2. 勾选已取消状态点击搜索
3. 勾选待付款状态点击搜索

4. 勾选付款中状态点击搜索
5. 勾选已付款状态点击搜索
6. 勾选待发货状态点击搜索
7. 勾选已发货状态点击搜索
8. 勾选订单完成状态点击搜索
","1. 显示默认状态的订单记录
2. 显示已取消状态订单记录
3. 显示待付款状态订单
4. 显示待付款状态订单
5. 显示已付款状态订单
6. 显示待发货状态订单
7. 显示已发货状态订单
8. 显示订单完成状态订单
","","","3","功能测试","","正常","0","1","8","通过","张家旺","2018-12-04","张家旺","2018-12-11","2","",""
"10781","DBShop(#10)","销售管理模块(#148)","","验证订单管理中搜索收货人的基本功能","1.管理员登录后台管理系统
2.网络状态良好
3.点击销售管理
4.点击订单管理
5.输入订单号123
6.输入购买人张三","1. 输入收货人张三点击搜索
2. 输入收货人张点击搜索
3. 输入收货人张 三点击搜索
4. 不输入收货人点击搜索
","1. 显示张三的订单记录
2. 显示所有姓张的订单记录
3. 显示张三的订单记录
4. 提示无查询条件
","1. 
2. 
3. 
4. 仍然可以显示查询结果
","","3","功能测试","","正常","1","1","4","失败","张家旺","2018-12-04","","0000-00-00","1","",""
"10780","DBShop(#10)","销售管理模块(#148)","","验证订单管理中搜索购买人的基本功能","1.管理员登录后台管理系统
2.网络状态良好
3.点击销售管理
4.点击订单管理
5.输入订单号123","1. 输入购买人张三点击搜索
2. 输入购买人张点击搜索
3. 输入购买人张 三点击搜索
4. 不输入购买人点击搜索
","1. 显示张三的订单记录
2. 显示所有姓张的订单记录
3. 显示张三的订单记录
4. 提示无查询条件
","1. 
2. 
3. 
4. 可以显示查询的信息
","","3","功能测试","","正常","1","1","4","失败","张家旺","2018-12-04","","0000-00-00","1","",""
"10779","DBShop(#10)","销售管理模块(#148)","","验证订单管理中的搜索订单号基本功能","1.管理员登录后台管理系统
2.网络状态良好
3.点击销售管理
4.点击订单管理","1. 输入订单号123点击搜索
2. 输入订单号1 23点击搜索
3. 输入订单号1 23点击搜索
4. 不输入订单号点击搜索
","1. 显示123出现搜索结果
2. 显示123出现搜索结果
3. 显示123出现搜索结果
4. 提示无查询条件
","","","2","功能测试","","正常","0","1","4","通过","张家旺","2018-12-04","","0000-00-00","1","",""
"10760","DBShop(#10)","系统管理模块(#154)","","验证对商品货号前缀的设置要求（系统设置中）","登录状态下，商品分享设置为“百度分享（图标式）”","1. 点击系统管理——点击系统设置为“百度分享（图标式）”——设置商品货号前缀为空——点击保存系统设置
2. 点击系统管理——点击系统设置为“百度分享（图标式）”——设置商品货号前缀为“123”——点击保存系统设置
3. 点击系统管理——点击系统设置为“百度分享（图标式）”——设置商品货号前缀为“DBG”——点击保存系统设置
4. 点击系统管理——点击系统设置为“百度分享（图标式）”——设置商品货号前缀为“物品”——点击保存系统设置
5. 点击系统管理——点击系统设置为“百度分享（图标式）”——设置商品货号前缀为“！@#￥%”——点击保存系统设置
","1. 提示“请按照正确格式填写”
2. 提示“系统设置保存成功”
3. 提示“系统设置保存成功”
4. 提示“系统设置保存成功”
5. 提示“系统设置保存成功”
","1. 提示“系统设置保存成功”
2. 
3. 
4. 
5. 
","","3","功能测试","","正常","1","1","5","失败","孟雨轩","2018-12-04","","0000-00-00","1","",""
"10720","DBShop(#10)","销售管理模块(#148)","","验证销售管理功能中的提交操作","管理员登录后台系统
网络连接状态良好","1. 直接点击提交操作
","1. 提示至少选择一个记录，无法提交
","","","3","功能测试","
单元测试阶段
功能测试阶段","正常","0","1","1","通过","张家旺","2018-12-04","","0000-00-00","1","",""
"10709","DBShop(#10)","工具管理模块(#152)","","不输入”邮件标题”的情况下，验证“发送邮件”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”工具管理’模块
2. 在下拉菜单中选择”邮件发送“
3. ”收件人类别“选为”普通会员“
4. ”邮件标题“不输入
5. 点击“点击发送邮件”按钮
","1. 弹出下拉菜单
2. 跳转到“邮件发送”页面
3. 选择成功
4. 输入为空白
5. 发送成功
","","","3","功能测试","","正常","0","0","5","","陈若繁","2018-12-03","","0000-00-00","1","",""
"10708","DBShop(#10)","工具管理模块(#152)","","自行输入错误格式的”收件人”的情况下，验证“发送邮件”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”工具管理’模块
2. 在下拉菜单中选择”邮件发送“
3. ”收件人类别“选为”白金会员“
4. “收件人”填入“123445”
5. ”邮件标题“为”发给白金会员的邮件
6. 点击“点击发送邮件”按钮
","1. 弹出下拉菜单
2. 跳转到“邮件发送”页面
3. 选择成功
4. 提示”收件人格式错误“
5. 输入成功
6. 发送失败
","","","3","功能测试","","正常","0","0","6","","陈若繁","2018-12-03","","0000-00-00","1","",""
"10707","DBShop(#10)","工具管理模块(#152)","","自行输入”收件人”的情况下，验证“发送邮件”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”工具管理’模块
2. 在下拉菜单中选择”邮件发送“
3. ”收件人类别“选为”白金会员“
4. “收件人”填入“1297985138@qq.com”
5. ”邮件标题“为”发给白金会员的邮件
6. 点击“点击发送邮件”按钮
","1. 弹出下拉菜单
2. 跳转到“邮件发送”页面
3. 选择成功
4. 输入成功
5. 输入成功
6. 发送成功
","","","3","功能测试","","正常","0","0","6","","陈若繁","2018-12-03","","0000-00-00","1","",""
"10706","DBShop(#10)","工具管理模块(#152)","","验证”收件人类别“与”收件人“的对应功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的”工具管理’模块
2. 在下拉菜单中选择”邮件发送“
3. ”收件人类别“选为”白金会员“
4. ”邮件标题“为”发给白金会员的邮件“
5. 点击“点击发送邮件”按钮
","1. 弹出下拉菜单
2. 跳转到“邮件发送”页面
3. 选择成功
4. 输入成功
5. 发送成功
","","","3","功能测试","","正常","0","0","5","","陈若繁","2018-12-03","","0000-00-00","1","",""
"10705","DBShop(#10)","CMS管理模块(#151)","","验证输入包含特殊符号的”文章标题”的情况下，验证“管理单页文章-添加单页文章”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理单页文章“
3. 点击“添加单页文章”
4. “文章标题”填写为“###”
5. 点击”保存单页文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理单页文章”页面
3. 跳转到”新加单页文章”页面
4. 输入成功
5. 保存成功
","","","3","功能测试","","正常","0","1","5","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10704","DBShop(#10)","CMS管理模块(#151)","","验证输入已存在的”文章标题”的情况下，验证“管理单页文章-添加单页文章”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理单页文章“
3. 点击“添加单页文章”
4. “文章标题”填写为“测试单页文章1”
5. 点击”保存单页文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理单页文章”页面
3. 跳转到”新加单页文章”页面
4. 提示“文章标题已存在”
5. 保存失败，提示“文章标题已存在”
","1. 
2. 
3. 
4. 
5. 不提示认识错误信息
","","3","功能测试","","正常","1","1","5","失败","陈若繁","2018-12-03","","0000-00-00","1","",""
"10703","DBShop(#10)","CMS管理模块(#151)","","验证不输入”文章标题”的情况下，验证“管理单页文章-添加单页文章”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理单页文章“
3. 点击“添加单页文章”
4. “文章标题”不输入
5. 点击”保存单页文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理单页文章”页面
3. 跳转到”新加单页文章”页面
4. 提示“请输入文章名称！”
5. 保存失败，提示“请输入文章名称！”
","","","3","功能测试","","正常","0","1","5","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10702","DBShop(#10)","CMS管理模块(#151)","","验证输入正确的信息的情况下，验证“管理单页文章-添加单页文章”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理单页文章“
3. 点击“添加单页文章”
4. “文章标题”填写为“测试单页文章1”
5. 点击”保存单页文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理单页文章”页面
3. 跳转到”新加单页文章”页面
4. 输入成功
5. 保存成功
","","","3","功能测试","","正常","0","1","5","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10701","DBShop(#10)","CMS管理模块(#151)","","验证“管理单页文章-文章预览”功能","1.网络连接良好
2.登录后台
3.系统中已经存在”单页文章“","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理单页文章“
3. 点击ID为”1““的”文章预览“按钮
","1. 弹出下拉菜单
2. 跳转到“管理单页文章”页面
3. 跳转到”文章预览”页面
","","","3","功能测试","","正常","0","1","3","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10700","DBShop(#10)","CMS管理模块(#151)","","验证”管理单页文章-删除”功能","1.网络连接良好
2.登录后台
3.系统中已经存在”单页文章“","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理单页文章“
3. 点击ID为”1““的”删除“按钮
4. 点击弹出框的“确定”按钮
","1. 弹出下拉菜单
2. 跳转到“管理单页文章”页面
3. 弹出”确认删除“界面
4. 删除成功
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10699","DBShop(#10)","CMS管理模块(#151)","","验证“管理单页文章-编辑“功能","1.网络连接良好
2.登录后台
3.系统中已经存在”单页文章“","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理单页文章“
3. 点击ID为”1““的”编辑“按钮
4. ”文章内容“修改为“1234567890”
5. 点击“保存单页文章信息”按钮
","1. 弹出下拉菜单
2. 跳转到“管理单页文章”页面
3. 跳转到”编辑单页文章“页面
4. 修改成功
5. 保存成功
","","","3","功能测试","","正常","0","1","5","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10698","DBShop(#10)","CMS管理模块(#151)","","”分类状态”为“禁用”的情况下，验证“管理文章分类-添加分类”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章分类“
3. 点击“添加子类”按钮
4. “分类名称”填写为“分类3”
5. “分类状态”为“禁用”
6. 点击“保存分类
","1. 弹出下拉菜单
2. 跳转到“管理分类”页面
3. 跳转到”添新加文章分类“页面
4. 输入成功
5. 选择成功
6. 保存成功
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10697","DBShop(#10)","CMS管理模块(#151)","","输入包含特殊符号的”分类名称”的情况下，验证“管理文章分类-添加分类”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章分类“
3. 点击“添加分类”按钮
4. “分类名称填写”### “
5. “分类状态”为“启用”
6. 点击“保存分类
","1. 弹出下拉菜单
2. 跳转到“管理分类”页面
3. 跳转到”添新加文章分类“页面
4. 输入成功
5. 选择成功
6. 保存成功
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10696","DBShop(#10)","CMS管理模块(#151)","","输入已存在的”分类名称”的情况下，验证“管理文章分类-添加分类”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章分类“
3. 点击“添加分类”按钮
4. “分类名称填写”分类1 “
5. “分类状态”为“启用”
6. 点击“保存分类
","1. 弹出下拉菜单
2. 跳转到“管理分类”页面
3. 跳转到”添新加文章分类“页面
4. 输入成功
5. 选择成功
6. 保存成功
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10695","DBShop(#10)","CMS管理模块(#151)","","不输入”分类名称”的情况下，验证“管理文章分类-添加分类”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章分类“
3. 点击“添加分类”按钮
4. “分类名称不填写
5. “分类状态”为“启用”
6. 点击“保存分类
","1. 弹出下拉菜单
2. 跳转到“管理分类”页面
3. 跳转到”新加文章分类“页面
4. 提示”请输入分类名称！“
5. 选择成功
6. 保存失败，提示”请输入分类名称！“
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10694","DBShop(#10)","CMS管理模块(#151)","","输入正确的信息的情况下，验证“管理文章分类-添加分类”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章分类“
3. 点击“添加分类”按钮
4. “分类名称”填写为“分类2”
5. “分类状态”为“启用”
6. 点击“保存分类
","1. 弹出下拉菜单
2. 跳转到“管理分类”页面
3. 跳转到”添新加文章分类“页面
4. 输入成功
5. 选择成功
6. 保存成功
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10693","DBShop(#10)","CMS管理模块(#151)","","验证“管理文章分类-文章预览”功能","1.网络连接良好
2.登录后台
3.系统中已经存在”文章“","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章分类“
3. 点击“分类1 (ID:1) ”的“分类预览”按钮
","1. 弹出下拉菜单
2. 跳转到“管理分类”页面
3. 跳转到”分类预览“页面
","","","3","功能测试","","正常","0","1","3","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10692","DBShop(#10)","CMS管理模块(#151)","","验证”管理文章分类-文章添加”功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章分类“
3. 点击“分类1 (ID:1) ”的“文章添加”按钮
4. ”文章标题“输入为”测试标题1”
5. “文章分类”为“分类1”
6. 保存文章信息
","1. 弹出下拉菜单
2. 跳转到“管理分类”页面
3. 跳转到”新加文章分类“页面
4. 输入成功
5. 选择成功
6. 保存成功
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10691","DBShop(#10)","CMS管理模块(#151)","","输入正确的信息的情况下，验证“管理文章分类-添加子类”的功能","1.网络连接良好
2.登录后台","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章分类“
3. 点击“分类1 (ID:1) ”的“添加子类”按钮
4. “分类名称”填写为“分类2”
5. “分类状态”为“启用”
6. 点击“保存分类
","1. 弹出下拉菜单
2. 跳转到“管理分类”页面
3. 跳转到”添加子类“页面
4. 输入成功
5. 选择成功
6. 保存成功
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10690","DBShop(#10)","CMS管理模块(#151)","","验证“文章管理“的”文章预览“功能","","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章“
3. “测试文章11”的“文章预览”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 跳转到”文章预览“页面
","","","3","功能测试","","正常","0","1","3","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10689","DBShop(#10)","CMS管理模块(#151)","","验证“文章管理“的”删除“功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章“
3. “测试文章11”的“删除”按钮
4. 点击弹出框的“确定”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 弹出”确认删除“界面
4. 删除成功
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10688","DBShop(#10)","CMS管理模块(#151)","","验证“文章管理“的”编辑“功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章“
3. “测试文章11”的“编辑”按钮
4. “文章内容”改为“的很多很多很多”
5. 点击“保存文章信息”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 跳转到”编辑文章“页面
4. 修改成功
5. 保存成功
","","","3","功能测试","","正常","0","1","5","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10687","DBShop(#10)","CMS管理模块(#151)","","输入格式错误的“URL跳转地址”的情况下，验证“新加文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章“
3. 点击”添加文章“按钮
4. ”文章标题“填写”测试文章12“
5. 文章分类”分类1 “
6“.URL跳转地址”填写“12345”
6. 选择”保存文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 跳转到“”新加文章“界面
4. 填写成功
5. 选择成功
6. 保存失败，提示”URL格式错误“
","1. 
2. 
3. 
4. 
5. 
6. 没有提示
","","3","功能测试","","正常","1","1","6","失败","陈若繁","2018-12-03","","0000-00-00","1","",""
"10686","DBShop(#10)","CMS管理模块(#151)","","输入包含特殊符号的”文章标题”的情况下，验证“新加文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章“
3. 点击”添加文章“按钮
4. ”文章标题“填写”@@@“
5. 文章分类”分类1 “
6. 选择”保存文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 跳转到“”新加文章“界面
4. 填写成功
5. 选择成功
6. 保存成功
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10685","DBShop(#10)","CMS管理模块(#151)","","输入已存在的”文章标题”的情况下，验证“新加文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章“
3. 点击”添加文章“按钮
4. ”文章标题“填写”测试文章11“
5. 文章分类”分类1 “
6. 选择”保存文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 跳转到“”新加文章“界面
4. 提示”文章名称重复！“
5. 选择成功
6. 保存失败，提示”文章名称重复！“
","1. 
2. 
3. 
4. 
5. 
6. 不提示
","","3","功能测试","","正常","1","1","6","失败","陈若繁","2018-12-03","","0000-00-00","1","",""
"10684","DBShop(#10)","CMS管理模块(#151)","","不输入”文章标题”的情况下，验证“新加文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章“
3. 点击”添加文章“按钮
4. ”文章标题“不输入
5. 文章分类”分类1 “
6. 选择”保存文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 跳转到“”新加文章“界面
4. 提示”请输入文章名称！“
5. 选择成功
6. 保存失败，提示”请输入文章名称！“
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10683","DBShop(#10)","CMS管理模块(#151)","","输入正确的信息的情况下，验证“新加文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的”CMS管理’模块
2. 在下拉菜单中选择”管理文章“
3. 点击”添加文章“按钮
4. ”文章标题“填写”测试文章11“
5. 文章分类”分类1 “
6. 选择”保存文章信息“按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 跳转到“”新加文章“界面
4. 填写成功
5. 选择成功
6. 保存成功
","","","3","功能测试","","正常","0","1","6","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10682","DBShop(#10)","CMS管理模块(#151)","","输入”添加时间“的”始“时间晚于”终“的时间的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”添加时间“的”始“位置输入”2018-11-30““，在”添加时间“的”终“位置输入”2018-11-27“
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 开始位置输入成功，结束位置输入成功
4. 没有查询到匹配的文章什么都不显示
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10681","DBShop(#10)","CMS管理模块(#151)","","输入”添加时间“的”始“和”终“的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”添加时间“的”始“位置输入”2018-11-27““，在”添加时间“的”终“位置输入”2018-11-30“
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 开始位置输入成功，结束位置输入成功
4. 搜索出“添加时间”时间在“2018-11-27”到“2018-11-30”之间的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10680","DBShop(#10)","CMS管理模块(#151)","","只输入”添加时间“的”终“的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”添加时间“的”始“位置不输入，在”添加时间“的”终“位置输入2018-11-27
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 开始位置空白，结束位置输入成功
4. 搜索出“添加时间”时间在“2018-11-27”之前的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10679","DBShop(#10)","CMS管理模块(#151)","","只输入”添加时间“的”始“的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”添加时间“的”始“位置输入”2018-11-27““，在”添加时间“的”终“位置不输入
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 开始位置输入成功，结束位置空白
4. 搜索出“添加时间”时间在“2018-11-27”之后的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10678","DBShop(#10)","CMS管理模块(#151)","","输入的“文章标题“为未注册的“文章标题“的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”文章标题“位置输入”陈陈陈”
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 没有查询到匹配的文章什么都不显示
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10677","DBShop(#10)","CMS管理模块(#151)","","输入的“文章标题“为特殊符号的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”文章标题“位置输入”#“
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 搜索出“文章标题”包含“#”的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10676","DBShop(#10)","CMS管理模块(#151)","","输入的“文章标题“为标题的中间一部分的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”文章标题“位置输入”文章“
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 搜索出“文章标题”包含“文章”的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10675","DBShop(#10)","CMS管理模块(#151)","","输入的“文章标题“为标题的末尾一部分的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”文章标题“位置输入”1“
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 搜索出“文章标题”包含“1”的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10674","DBShop(#10)","CMS管理模块(#151)","","输入的“文章标题“为标题的开头一部分的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”文章标题“位置输入”测试“
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 搜索出“文章标题”包含“测试”的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10673","DBShop(#10)","CMS管理模块(#151)","","输入的“文章标题“为已注册的完整的标题的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”文章标题“位置输入”测试文章1“
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 搜索出“文章标题”为“测试文章1”的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10672","DBShop(#10)","CMS管理模块(#151)","","输入的”ID“为特殊符号的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”ID“的”始“位置输入”!““，在”ID“的”终“位置输入”#
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 没有查询到匹配的文章什么都不显示
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10671","DBShop(#10)","CMS管理模块(#151)","","输入的”ID“为字母的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”ID“的”始“位置输入”a““，在”ID“的”终“位置输入”b
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 没有查询到匹配的文章什么都不显示
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10670","DBShop(#10)","CMS管理模块(#151)","","输入的”ID“的“始”的数字大于“终”的数字的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”ID“的”始“位置输入”3““，在”ID“的”终“位置输入”1
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 没有查询到匹配的文章什么都不显示
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
"10669","DBShop(#10)","CMS管理模块(#151)","","输入”ID“的“始”和“终”都输入的情况下，验证“查找文章”的功能","1.网络连接良好
2.登录后台
3.系统中已经存在文章","1. 点击导航栏中的“CMS管理”模块
2. 在下拉菜单中选择“管理文章
3. 在”ID“的”始“位置输入”1““，在”ID“的”终“位置输入”3
4. 点击“搜索”按钮
","1. 弹出下拉菜单
2. 跳转到“管理文章”页面
3. 输入成功
4. 搜索出“ID”范围为“3”及ID小于3的文章
","","","3","功能测试","","正常","0","1","4","通过","陈若繁","2018-12-03","","0000-00-00","1","",""
